msa,date,daily_deaths_actual,daily_deaths_est,daily_deaths_95CI_lower,daily_deaths_95CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_95CI_lower,cumulative_deaths_95CI_upper,population,prob_peak_already,prob_peak_07days,prob_peak_10days,prob_peak_14days
"Abilene, TX",2020-04-04,1,0,1,1,1,1,1,1,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-04-05,0,0,0,0,1,1,1,1,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-04-06,0,0,0,0,1,1,1,1,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-04-07,0,0,0,0,1,1,1,1,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-04-08,0,0,0,0,1,1,1,1,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-04-09,0,0,0,0,1,1,1,1,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-04-10,0,0,0,0,1,1,1,1,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-04-11,0,0,0,0,1,1,1,1,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-04-12,0,0,0,0,1,1,1,1,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-04-13,0,0,0,0,1,1,1,1,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-04-14,0,0,0,0,1,1,1,1,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-04-15,0,0,0,0,1,1,1,1,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-04-16,1,0,1,1,2,2,2,2,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-04-17,0,0,0,0,2,2,2,2,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-04-18,0,0,0,0,2,2,2,2,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-04-19,0,0,0,0,2,2,2,2,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-04-20,0,0,0,0,2,2,2,2,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-04-21,1,0,1,1,3,3,3,3,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-04-22,0,0,0,0,3,3,3,3,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-04-23,0,0,0,0,3,3,3,3,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-04-24,0,0,0,0,3,3,3,3,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-04-25,0,0,0,0,3,3,3,3,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-04-26,0,0,0,0,3,3,3,3,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-04-27,0,0,0,0,3,3,3,3,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-04-28,0,0,0,0,3,3,3,3,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-04-29,0,0,0,0,3,3,3,3,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-04-30,2,0,2,2,5,5,5,5,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-05-01,0,0,0,0,5,5,5,5,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-05-02,0,0,0,0,5,5,5,5,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-05-03,0,0,0,0,5,5,5,5,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-05-04,0,0,0,0,5,5,5,5,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-05-05,0,0,0,0,5,5,5,5,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-05-06,1,0,1,1,6,6,6,6,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-05-07,1,0,1,1,7,7,7,7,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-05-08,0,0,0,0,7,7,7,7,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-05-09,0,0,0,0,7,7,7,7,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-05-10,0,0,0,0,7,7,7,7,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-05-11,0,0,0,0,7,7,7,7,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-05-12,0,0,0,0,7,7,7,7,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-05-13,0,0,0,0,7,7,7,7,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-05-14,0,0,0,0,7,7,7,7,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-05-15,0,0,0,0,7,7,7,7,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-05-16,0,0,0,0,7,7,7,7,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-05-17,0,0,0,0,7,7,7,7,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-05-18,0,0,0,0,7,7,7,7,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-05-19,0,0,0,0,7,7,7,7,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-05-20,0,0,0,0,7,7,7,7,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-05-21,NA,0,0,1.2857142857142856,NA,7,7,8.285714285714285,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-05-22,NA,0,0,1.4285714285714286,NA,7,7,8.714285714285714,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-05-23,NA,0,0,1.4285714285714286,NA,7.285714285714286,7,9.142857142857142,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-05-24,NA,0,0,1.4285714285714286,NA,7.285714285714286,7,9.857142857142858,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-05-25,NA,0,0,1.4285714285714286,NA,7.714285714285714,7,10.142857142857142,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-05-26,NA,0,0,1.4285714285714286,NA,7.714285714285714,7,10.571428571428571,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-05-27,NA,0,0,1.4285714285714286,NA,7.714285714285714,7,11.285714285714286,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-05-28,NA,0,0,1.4285714285714286,NA,8,7,11.857142857142858,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-05-29,NA,0,0,1.4285714285714286,NA,8.285714285714286,7,12.428571428571429,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-05-30,NA,0,0,1.4285714285714286,NA,8.428571428571429,7,13,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-05-31,NA,0,0,1.4285714285714286,NA,8.428571428571429,7,13.571428571428571,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-06-01,NA,0,0,1.4285714285714286,NA,8.714285714285714,7,14.285714285714286,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-06-02,NA,0,0,1.4285714285714286,NA,9,7,15,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-06-03,NA,0,0,1.4285714285714286,NA,9.142857142857142,7,15.714285714285714,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-06-04,NA,0,0,1.4285714285714286,NA,9.285714285714286,7,16.428571428571427,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-06-05,NA,0,0,1.4285714285714286,NA,9.428571428571429,7,17.142857142857142,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-06-06,NA,0,0,1.7142857142857144,NA,9.714285714285714,7,18.003571428571377,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-06-07,NA,0,0,1.7142857142857144,NA,9.857142857142858,7,18.857142857142858,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-06-08,NA,0,0,2,NA,10.142857142857142,7,19.714285714285715,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-06-09,NA,0,0,1.7214285714284676,NA,10.142857142857142,7,20.714285714285715,172060,0.8185,0.849,0.8663,0.8977
"Abilene, TX",2020-06-10,NA,0,0,2.142857142857143,NA,10.428571428571429,7,21.714285714285715,172060,0.8185,0.849,0.8663,0.8977
