state,date,daily_deaths_actual,daily_deaths_est,daily_deaths_90CI_lower,daily_deaths_90CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_90CI_lower,cumulative_deaths_90CI_upper,population,prob_peak_already,prob_peak_07days,prob_peak_10days,prob_peak_14days
Alabama,2020-03-27,3,1.4285714285714286,3,3,4,3,3,3,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-03-28,0,1.5714285714285714,0,0,4,3,3,3,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-03-29,6,1.5714285714285714,6,6,10,9,9,9,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-03-30,0,1.8571428571428572,0,0,10,9,9,9,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-03-31,13,2.7142857142857144,13,13,23,22,22,22,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-04-01,4,3.2857142857142856,4,4,27,26,26,26,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-04-02,5,3.857142857142857,5,5,32,31,31,31,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-04-03,6,4.571428571428571,6,6,38,37,37,37,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-04-04,6,5.285714285714286,6,6,44,43,43,43,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-04-05,1,4.571428571428571,1,1,45,44,44,44,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-04-06,4,5.285714285714286,4,4,49,48,48,48,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-04-07,15,7.7142857142857135,15,15,64,63,63,63,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-04-08,2,8.285714285714286,2,2,66,65,65,65,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-04-09,4,9,4,4,70,69,69,69,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-04-10,10,9.428571428571429,10,10,80,79,79,79,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-04-11,12,9.571428571428571,12,12,92,91,91,91,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-04-12,1,7,1,1,93,92,92,92,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-04-13,6,7.142857142857142,6,6,99,98,98,98,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-04-14,15,10.285714285714286,15,15,114,113,113,113,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-04-15,4,10.428571428571429,4,4,118,117,117,117,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-04-16,15,10.571428571428571,15,15,133,132,132,132,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-04-17,15,10.428571428571429,15,15,148,147,147,147,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-04-18,5,10.428571428571429,5,5,153,152,152,152,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-04-19,4,7,4,4,157,156,156,156,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-04-20,6,7,6,6,163,162,162,162,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-04-21,20,11.142857142857142,20,20,183,182,182,182,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-04-22,13,11.428571428571429,13,13,196,195,195,195,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-04-23,6,11.857142857142858,6,6,202,201,201,201,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-04-24,7,12,7,7,209,208,208,208,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-04-25,0,12.285714285714285,0,0,209,208,208,208,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-04-26,10,7.714285714285714,10,10,219,218,218,218,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-04-27,9,7.857142857142857,9,9,228,227,227,227,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-04-28,14,12.857142857142858,14,14,242,241,241,241,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-04-29,14,12.857142857142858,14,14,256,255,255,255,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-04-30,16,13.142857142857142,16,16,272,271,271,271,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-05-01,17,13.142857142857142,17,17,289,288,288,288,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-05-03,2,7.857142857142857,2,2,290,290,290,290,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-05-04,8,8,8,8,298,298,298,298,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-05-05,17,13.857142857142858,17,17,315,315,315,315,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-05-06,28,14,28,28,343,343,343,343,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-05-07,26,14,26,26,369,369,369,369,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-05-08,14,13.714285714285714,14,14,383,383,383,383,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-05-09,7,14,7,7,390,390,390,390,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-05-10,3,7.857142857142858,3,3,393,393,393,393,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-05-11,10,8,10,10,403,403,403,403,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-05-12,32,14.428571428571429,32,32,435,435,435,435,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-05-13,15,14.714285714285715,15,15,450,450,450,450,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-05-14,23,14.571428571428571,23,23,473,473,473,473,4903185,0.7158,0.8507,0.9168,0.9703
Alabama,2020-05-15,10,14.857142857142858,10,10,483,483,483,483,4903185,0.7158,0.8507,0.9168,0.9703
