date,daily_deaths_actual,daily_deaths_est,daily_deaths_95CI_lower,daily_deaths_95CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_95CI_lower,cumulative_deaths_95CI_upper,daily_deaths_av7
2020-02-29,1,NA,NA,NA,1,NA,NA,NA,NA
2020-03-01,2,NA,NA,NA,3,NA,NA,NA,NA
2020-03-02,3,NA,NA,NA,6,NA,NA,NA,NA
2020-03-03,4,NA,NA,NA,10,NA,NA,NA,2.142857142857143
2020-03-04,2,NA,NA,NA,12,NA,NA,NA,2.571428571428571
2020-03-05,0,NA,NA,NA,12,NA,NA,NA,2.714285714285714
2020-03-06,3,NA,NA,NA,15,NA,NA,NA,2.8571428571428568
2020-03-07,4,NA,NA,NA,19,NA,NA,NA,2.9999999999999996
2020-03-08,3,NA,NA,NA,22,NA,NA,NA,3.5714285714285707
2020-03-09,4,NA,NA,NA,26,NA,NA,NA,4.428571428571429
2020-03-10,5,NA,NA,NA,31,NA,NA,NA,5
2020-03-11,6,NA,NA,NA,37,NA,NA,NA,5.857142857142857
2020-03-12,6,NA,NA,NA,43,NA,NA,NA,6.57142857142857
2020-03-13,7,NA,NA,NA,50,NA,NA,NA,9.285714285714285
2020-03-14,10,NA,NA,NA,60,NA,NA,NA,12.285714285714286
2020-03-15,8,NA,NA,NA,68,NA,NA,NA,17.857142857142858
2020-03-16,23,NA,NA,NA,91,NA,NA,NA,24.14285714285714
2020-03-17,26,NA,NA,NA,117,NA,NA,NA,32.42857142857142
2020-03-18,45,NA,NA,NA,162,NA,NA,NA,42.714285714285715
2020-03-19,50,NA,NA,NA,212,NA,NA,NA,55.42857142857143
2020-03-20,65,NA,NA,NA,277,NA,NA,NA,69.28571428571428
2020-03-21,82,NA,NA,NA,359,NA,NA,NA,94.99999999999999
2020-03-22,97,NA,NA,NA,456,NA,NA,NA,126.99999999999997
2020-03-23,120,NA,NA,NA,576,NA,NA,NA,162.57142857142856
2020-03-24,206,NA,NA,NA,782,NA,NA,NA,212.7142857142857
2020-03-25,269,NA,NA,NA,1051,NA,NA,NA,276.71428571428567
2020-03-26,299,NA,NA,NA,1350,NA,NA,NA,322.28571428571433
2020-03-27,416,NA,NA,NA,1766,NA,NA,NA,397.8571428571429
2020-03-28,530,NA,NA,NA,2296,NA,NA,NA,501.7142857142858
2020-03-29,416,NA,NA,NA,2712,NA,NA,NA,609.7142857142857
2020-03-30,649,NA,NA,NA,3361,NA,NA,NA,740.5714285714286
2020-03-31,933,NA,NA,NA,4294,NA,NA,NA,879.2857142857141
2020-04-01,1025,NA,NA,NA,5319,NA,NA,NA,1025.4285714285713
2020-04-02,1215,NA,NA,NA,6534,NA,NA,NA,1161.142857142857
2020-04-03,1387,NA,NA,NA,7921,NA,NA,NA,1286.1428571428569
2020-04-04,1553,NA,NA,NA,9474,NA,NA,NA,1471.5714285714282
2020-04-05,1366,NA,NA,NA,10840,NA,NA,NA,1624.1428571428573
2020-04-06,1524,NA,NA,NA,12364,NA,NA,NA,1752.142857142857
2020-04-07,2231,NA,NA,NA,14595,NA,NA,NA,1876.4285714285716
2020-04-08,2093,NA,NA,NA,16688,NA,NA,NA,1951.7142857142856
2020-04-09,2111,NA,NA,NA,18799,NA,NA,NA,1996.4285714285716
2020-04-10,2257,NA,NA,NA,21056,NA,NA,NA,2030.4285714285716
2020-04-11,2080,NA,NA,NA,23136,NA,NA,NA,2098.142857142857
2020-04-12,1679,NA,NA,NA,24815,NA,NA,NA,2191.428571428571
2020-04-13,1762,NA,NA,NA,26577,NA,NA,NA,2224.5714285714284
2020-04-14,2705,NA,NA,NA,29282,NA,NA,NA,2228.7142857142853
2020-04-15,2746,NA,NA,NA,32028,NA,NA,NA,2210.5714285714284
2020-04-16,2343,NA,NA,NA,34371,NA,NA,NA,2190.5714285714284
2020-04-17,2286,NA,NA,NA,36657,NA,NA,NA,2201.1428571428573
2020-04-18,1953,NA,NA,NA,38610,NA,NA,NA,2196.285714285714
2020-04-19,1539,NA,NA,NA,40149,NA,NA,NA,2142.285714285714
2020-04-20,1836,NA,NA,NA,41985,NA,NA,NA,2114.714285714286
2020-04-21,2671,NA,NA,NA,44656,NA,NA,NA,2091.5714285714284
2020-04-22,2368,NA,NA,NA,47024,NA,NA,NA,2092.8571428571427
2020-04-23,2150,NA,NA,NA,49174,NA,NA,NA,2051.8571428571427
2020-04-24,2124,NA,NA,NA,51298,NA,NA,NA,1995.5714285714284
2020-04-25,1962,NA,NA,NA,53260,NA,NA,NA,1955.7142857142856
2020-04-26,1252,NA,NA,NA,54512,NA,NA,NA,1976.5714285714284
2020-04-27,1442,NA,NA,NA,55954,NA,NA,NA,1984.2857142857142
2020-04-28,2392,NA,NA,NA,58346,NA,NA,NA,1932.2857142857142
2020-04-29,2514,NA,NA,NA,60860,NA,NA,NA,1878.142857142857
2020-04-30,2204,NA,NA,NA,63064,NA,NA,NA,1889.142857142857
2020-05-01,1760,NA,NA,NA,64824,NA,NA,NA,1838.7142857142858
