date,daily_deaths_actual,daily_deaths_est,daily_deaths_90CI_lower,daily_deaths_90CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_90CI_lower,cumulative_deaths_90CI_upper,prob_peak_already,prob_peak_07days,prob_peak_10days,prob_peak_14days
2020-03-01,2,2,2,2,2,2,2,2,0.979,0.979,0.979,0.979
2020-03-02,3,3,3,3,5,5,5,5,0.979,0.979,0.979,0.979
2020-03-03,4,4,4,4,9,9,9,9,0.979,0.979,0.979,0.979
2020-03-04,1,1,1,1,10,10,10,10,0.979,0.979,0.979,0.979
2020-03-05,0,0,0,0,10,10,10,10,0.979,0.979,0.979,0.979
2020-03-06,1,1,1,1,11,11,11,11,0.979,0.979,0.979,0.979
2020-03-07,4,4,4,4,15,15,15,15,0.979,0.979,0.979,0.979
2020-03-08,3,3,3,3,18,18,18,18,0.979,0.979,0.979,0.979
2020-03-09,3,3,3,3,21,21,21,21,0.979,0.979,0.979,0.979
2020-03-10,3,3,3,3,24,24,24,24,0.979,0.979,0.979,0.979
2020-03-11,5,5,5,5,29,29,29,29,0.979,0.979,0.979,0.979
2020-03-12,4,4,4,4,33,33,33,33,0.979,0.979,0.979,0.979
2020-03-13,6,6,6,6,39,39,39,39,0.979,0.979,0.979,0.979
2020-03-14,3,3,3,3,42,42,42,42,0.979,0.979,0.979,0.979
2020-03-15,7,7,7,7,49,49,49,49,0.979,0.979,0.979,0.979
2020-03-16,13,13,13,13,62,62,62,62,0.979,0.979,0.979,0.979
2020-03-17,20,20,20,20,82,82,82,82,0.979,0.979,0.979,0.979
2020-03-18,33,33,33,33,115,115,115,115,0.979,0.979,0.979,0.979
2020-03-19,43,43,43,43,158,158,158,158,0.979,0.979,0.979,0.979
2020-03-20,57,57,57,57,215,215,215,215,0.979,0.979,0.979,0.979
2020-03-21,71,71,71,71,286,286,286,286,0.979,0.979,0.979,0.979
2020-03-22,87,87,87,87,373,373,373,373,0.979,0.979,0.979,0.979
2020-03-23,114,114,114,114,487,487,487,487,0.979,0.979,0.979,0.979
2020-03-24,196,196,196,196,683,683,683,683,0.979,0.979,0.979,0.979
2020-03-25,251,251,251,251,934,934,934,934,0.979,0.979,0.979,0.979
2020-03-26,279,279,279,279,1213,1213,1213,1213,0.979,0.979,0.979,0.979
2020-03-27,370,370,370,370,1583,1583,1583,1583,0.979,0.979,0.979,0.979
2020-03-28,487,487,487,487,2070,2070,2070,2070,0.979,0.979,0.979,0.979
2020-03-29,273,273,273,273,2343,2343,2343,2343,0.979,0.979,0.979,0.979
2020-03-30,489,489,489,489,2832,2832,2832,2832,0.979,0.979,0.979,0.979
2020-03-31,725,725,725,725,3557,3557,3557,3557,0.979,0.979,0.979,0.979
2020-04-01,915,915,915,915,4472,4472,4472,4472,0.979,0.979,0.979,0.979
2020-04-02,960,960,960,960,5432,5432,5432,5432,0.979,0.979,0.979,0.979
2020-04-03,1630,1630,1630,1630,7062,7062,7062,7062,0.979,0.979,0.979,0.979
2020-04-04,1366,1366,1366,1366,8428,8428,8428,8428,0.979,0.979,0.979,0.979
2020-04-05,1153,1153,1153,1153,9581,9581,9581,9581,0.979,0.979,0.979,0.979
2020-04-06,2048,2048,2048,2048,11629,11629,11629,11629,0.979,0.979,0.979,0.979
2020-04-07,1249,1249,1249,1249,12878,12878,12878,12878,0.979,0.979,0.979,0.979
