msa,date,daily_deaths_actual,daily_deaths_est,daily_deaths_95CI_lower,daily_deaths_95CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_95CI_lower,cumulative_deaths_95CI_upper,population,daily_deaths_av7
"Akron, OH",2020-03-27,1,1,1,1,1,1,1,1,703479,NA
"Akron, OH",2020-03-28,3,3,3,3,4,4,4,4,703479,NA
"Akron, OH",2020-03-29,1,1,1,1,5,5,5,5,703479,NA
"Akron, OH",2020-03-30,1,1,1,1,6,6,6,6,703479,1.2857142857142856
"Akron, OH",2020-03-31,0,0,0,0,6,6,6,6,703479,1.2857142857142856
"Akron, OH",2020-04-01,2,2,2,2,8,8,8,8,703479,0.857142857142857
"Akron, OH",2020-04-02,1,1,1,1,9,9,9,9,703479,1.1428571428571428
"Akron, OH",2020-04-03,1,1,1,1,10,10,10,10,703479,1.2857142857142856
"Akron, OH",2020-04-04,0,0,0,0,10,10,10,10,703479,1.8571428571428568
"Akron, OH",2020-04-05,3,3,3,3,13,13,13,13,703479,1.714285714285714
"Akron, OH",2020-04-06,2,2,2,2,15,15,15,15,703479,2.4285714285714284
"Akron, OH",2020-04-07,4,4,4,4,19,19,19,19,703479,2.2857142857142856
"Akron, OH",2020-04-08,1,1,1,1,20,20,20,20,703479,2.571428571428571
"Akron, OH",2020-04-09,6,6,6,6,26,26,26,26,703479,2.2857142857142856
"Akron, OH",2020-04-10,0,0,0,0,26,26,26,26,703479,2.4285714285714284
"Akron, OH",2020-04-11,2,2,2,2,28,28,28,28,703479,2.2857142857142856
"Akron, OH",2020-04-12,1,1,1,1,29,29,29,29,703479,2.4285714285714284
"Akron, OH",2020-04-13,3,3,3,3,32,32,32,32,703479,2
"Akron, OH",2020-04-14,3,3,3,3,35,35,35,35,703479,2.142857142857143
"Akron, OH",2020-04-15,2,2,2,2,37,37,37,37,703479,2.2857142857142856
"Akron, OH",2020-04-16,3,3,3,3,40,40,40,40,703479,2.2857142857142856
"Akron, OH",2020-04-17,1,1,1,1,41,41,41,41,703479,2.2857142857142856
"Akron, OH",2020-04-18,3,3,3,3,44,44,44,44,703479,3.285714285714285
"Akron, OH",2020-04-19,1,1,1,1,45,45,45,45,703479,3.428571428571428
"Akron, OH",2020-04-20,3,3,3,3,48,48,48,48,703479,3.2857142857142847
"Akron, OH",2020-04-21,10,10,10,10,58,58,58,58,703479,3.5714285714285707
"Akron, OH",2020-04-22,3,3,3,3,61,61,61,61,703479,3.1428571428571423
"Akron, OH",2020-04-23,2,2,2,2,63,63,63,63,703479,3.4285714285714284
"Akron, OH",2020-04-24,3,3,3,3,66,66,66,66,703479,3.428571428571428
"Akron, OH",2020-04-25,0,0,0,0,66,66,66,66,703479,2.8571428571428568
"Akron, OH",2020-04-26,3,3,3,3,69,69,69,69,703479,3.8571428571428563
"Akron, OH",2020-04-27,3,3,3,3,72,72,72,72,703479,3.7142857142857135
"Akron, OH",2020-04-28,6,6,6,6,78,78,78,78,703479,3.428571428571428
"Akron, OH",2020-04-29,10,10,10,10,88,88,88,88,703479,4.571428571428571
"Akron, OH",2020-04-30,1,1,1,1,89,89,89,89,703479,4.285714285714286
"Akron, OH",2020-05-01,1,1,1,1,90,90,90,90,703479,3.9999999999999996
"Akron, OH",2020-05-02,8,8,8,8,98,98,98,98,703479,4.428571428571428
"Akron, OH",2020-05-03,1,1,1,1,99,99,99,99,703479,3.9999999999999996
"Akron, OH",2020-05-04,1,1,1,1,100,100,100,100,703479,4.285714285714286
"Akron, OH",2020-05-05,9,9,9,9,109,109,109,109,703479,4.285714285714285
"Akron, OH",2020-05-06,7,7,7,7,116,116,116,116,703479,3.714285714285714
"Akron, OH",2020-05-07,3,3,3,3,119,119,119,119,703479,3.571428571428571
"Akron, OH",2020-05-08,1,1,1,1,120,120,120,120,703479,3.4285714285714284
"Akron, OH",2020-05-09,4,4,4,4,124,124,124,124,703479,3.571428571428571
"Akron, OH",2020-05-10,0,0,0,0,124,124,124,124,703479,3.1428571428571423
"Akron, OH",2020-05-11,0,0,0,0,124,124,124,124,703479,4.714285714285714
"Akron, OH",2020-05-12,10,10,10,10,134,134,134,134,703479,5
"Akron, OH",2020-05-13,4,4,4,4,138,138,138,138,703479,5.285714285714285
"Akron, OH",2020-05-14,14,14,14,14,152,152,152,152,703479,5.285714285714285
"Akron, OH",2020-05-15,3,3,3,3,155,155,155,155,703479,5.857142857142856
"Akron, OH",2020-05-16,6,6,6,6,161,161,161,161,703479,4.571428571428571
"Akron, OH",2020-05-17,0,0,0,0,161,161,161,161,703479,6.857142857142857
"Akron, OH",2020-05-18,4,4,4,4,165,165,165,165,703479,5.999999999999999
"Akron, OH",2020-05-19,1,1,1,1,166,166,166,166,703479,6.857142857142856
"Akron, OH",2020-05-20,20,20,20,20,186,186,186,186,703479,8
"Akron, OH",2020-05-21,8,8,8,8,194,194,194,194,703479,8
"Akron, OH",2020-05-22,9,9,9,9,203,203,203,203,703479,7.428571428571429
"Akron, OH",2020-05-23,14,14,14,14,217,217,217,217,703479,7.428571428571428
"Akron, OH",2020-05-24,0,0,0,0,217,217,217,217,703479,6.285714285714285
"Akron, OH",2020-05-25,0,0,0,0,217,217,217,217,703479,5.142857142857142
"Akron, OH",2020-05-27,1,1,1,1,217,217,217,217,703479,3.8571428571428568
"Akron, OH",2020-05-28,12,12,12,12,229,229,229,229,703479,1.9999999999999998
"Akron, OH",2020-05-29,0,0,0,0,229,229,229,229,703479,2.4285714285714284
"Akron, OH",2020-05-30,0,0,0,0,229,229,229,229,703479,2.9999999999999996
"Akron, OH",2020-05-31,1,1,1,1,230,230,230,230,703479,3
"Akron, OH",2020-06-01,3,3,3,3,233,233,233,233,703479,1.2857142857142856
"Akron, OH",2020-06-02,4,4,4,4,237,237,237,237,703479,1.2857142857142856
"Akron, OH",2020-06-03,1,1,1,1,238,238,238,238,703479,1.5714285714285714
"Akron, OH",2020-06-04,0,0,0,0,238,238,238,238,703479,1.4285714285714286
"Akron, OH",2020-06-05,0,0,0,0,238,238,238,238,703479,1.1428571428571428
"Akron, OH",2020-06-06,2,2,2,2,240,240,240,240,703479,0.857142857142857
"Akron, OH",2020-06-07,0,0,0,0,240,240,240,240,703479,0.9999999999999999
"Akron, OH",2020-06-08,1,1,1,1,241,241,241,241,703479,1.1428571428571428
"Akron, OH",2020-06-09,2,2,2,2,243,243,243,243,703479,1.4285714285714284
"Akron, OH",2020-06-10,2,2,2,2,245,245,245,245,703479,1.4285714285714284
"Akron, OH",2020-06-11,1,1,1,1,246,246,246,246,703479,1.4285714285714284
"Akron, OH",2020-06-12,2,2,2,2,248,248,248,248,703479,1.5714285714285712
"Akron, OH",2020-06-13,2,2,2,2,250,250,250,250,703479,1.5714285714285712
"Akron, OH",2020-06-14,0,0,0,0,250,250,250,250,703479,1.4285714285714284
"Akron, OH",2020-06-15,2,2,2,2,252,252,252,252,703479,1.714285714285714
"Akron, OH",2020-06-16,2,2,2,2,254,254,254,254,703479,1.714285714285714
"Akron, OH",2020-06-18,1,1,1,1,254,254,254,254,703479,1.4285714285714284
"Akron, OH",2020-06-19,3,3,3,3,257,257,257,257,703479,1.5714285714285712
"Akron, OH",2020-06-20,2,2,2,2,259,259,259,259,703479,1.2857142857142856
"Akron, OH",2020-06-21,0,0,0,0,259,259,259,259,703479,1
"Akron, OH",2020-06-22,1,1,1,1,260,260,260,260,703479,0.8571428571428571
"Akron, OH",2020-06-23,0,0,0,0,260,260,260,260,703479,0.42857142857142855
"Akron, OH",2020-06-24,0,0,0,0,260,260,260,260,703479,0.14285714285714285
"Akron, OH",2020-06-25,0,0,0,0,260,260,260,260,703479,0.14285714285714285
"Akron, OH",2020-06-26,0,0,0,0,260,260,260,260,703479,0.2857142857142857
"Akron, OH",2020-06-27,0,0,0,0,260,260,260,260,703479,0.42857142857142855
"Akron, OH",2020-06-28,0,0,0,0,260,260,260,260,703479,0.5714285714285714
"Akron, OH",2020-06-29,2,2,2,2,262,262,262,262,703479,0.5714285714285714
"Akron, OH",2020-06-30,1,1,1,1,263,263,263,263,703479,0.5714285714285714
"Akron, OH",2020-07-01,1,1,1,1,264,264,264,264,703479,0.5714285714285714
"Akron, OH",2020-07-02,0,0,0,0,264,264,264,264,703479,0.5714285714285714
"Akron, OH",2020-07-03,0,0,0,0,264,264,264,264,703479,0.2857142857142857
"Akron, OH",2020-07-04,0,0,0,0,264,264,264,264,703479,0.42857142857142855
"Akron, OH",2020-07-05,0,0,0,0,264,264,264,264,703479,0.2857142857142857
"Akron, OH",2020-07-06,0,0,0,0,264,264,264,264,703479,0.5714285714285714
"Akron, OH",2020-07-07,2,2,2,2,266,266,266,266,703479,0.5714285714285714
"Akron, OH",2020-07-08,0,0,0,0,266,266,266,266,703479,0.5714285714285714
"Akron, OH",2020-07-09,2,2,2,2,268,268,268,268,703479,0.7142857142857142
"Akron, OH",2020-07-10,0,0,0,0,268,268,268,268,703479,NA
"Akron, OH",2020-07-11,0,0,0,0,268,268,268,268,703479,NA
"Akron, OH",2020-07-12,1,1,1,1,269,269,269,269,703479,NA
"Akron, OH",2020-07-13,NA,0,0,5,NA,271,271,276,703479,NA
"Akron, OH",2020-07-14,NA,0,0,6,NA,272,271,279,703479,NA
"Akron, OH",2020-07-15,NA,0,0,5,NA,273,271,281,703479,NA
"Akron, OH",2020-07-16,NA,0,0,6,NA,273,271,284,703479,NA
"Akron, OH",2020-07-17,NA,0,0,5,NA,274,271,285.025,703479,NA
"Akron, OH",2020-07-18,NA,0,0,5,NA,275,271,287,703479,NA
"Akron, OH",2020-07-19,NA,0,0,5,NA,275,271,289,703479,NA
"Akron, OH",2020-07-20,NA,0,0,5,NA,276,271,291.025,703479,NA
"Akron, OH",2020-07-21,NA,0,0,6,NA,277,271,294,703479,NA
"Akron, OH",2020-07-22,NA,0,0,6,NA,278,271,297,703479,NA
"Akron, OH",2020-07-23,NA,0,0,5,NA,278,271,300,703479,NA
"Akron, OH",2020-07-24,NA,0,0,5,NA,279,271,302,703479,NA
"Akron, OH",2020-07-25,NA,0,0,5,NA,279,272,304,703479,NA
"Akron, OH",2020-07-26,NA,0,0,6,NA,280,272,307.025,703479,NA
"Akron, OH",2020-07-27,NA,0,0,5,NA,281,272,308.025,703479,NA
"Akron, OH",2020-07-28,NA,0,0,6,NA,281,272,312,703479,NA
"Akron, OH",2020-07-29,NA,0,0,6,NA,282,272,315,703479,NA
"Akron, OH",2020-07-30,NA,0,0,6,NA,282,272,319,703479,NA
"Akron, OH",2020-07-31,NA,0,0,6.024999999999977,NA,283,272,323,703479,NA
"Akron, OH",2020-08-01,NA,0,0,6,NA,283,272,325.04999999999995,703479,NA
"Akron, OH",2020-08-02,NA,0,0,7,NA,284,272,333,703479,NA
"Akron, OH",2020-08-03,NA,0,0,7,NA,284,272,339.04999999999995,703479,NA
"Akron, OH",2020-08-04,NA,0,0,6,NA,285,272,342,703479,NA
"Akron, OH",2020-08-05,NA,0,0,6.024999999999977,NA,285,272.975,345.025,703479,NA
"Akron, OH",2020-08-06,NA,0,0,7,NA,286,273,352.07499999999993,703479,NA
"Akron, OH",2020-08-07,NA,0,0,8,NA,286,273,357.0999999999999,703479,NA
"Akron, OH",2020-08-08,NA,0,0,7,NA,286,273,362,703479,NA
"Akron, OH",2020-08-09,NA,0,0,9,NA,287,273,365,703479,NA
