state,date,daily_deaths_actual,daily_deaths_est,daily_deaths_90CI_lower,daily_deaths_90CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_90CI_lower,cumulative_deaths_90CI_upper,population,prob_peak_already,prob_peak_07days,prob_peak_10days,prob_peak_14days
Alabama,2020-03-26,2,1,2,2,3,2,2,2,4903185,0.3074,0.5066,0.6022,0.7258
Alabama,2020-03-27,1,1.2857142857142856,1,1,4,3,3,3,4903185,0.3074,0.5066,0.6022,0.7258
Alabama,2020-03-28,0,1.2857142857142856,0,0,4,3,3,3,4903185,0.3074,0.5066,0.6022,0.7258
Alabama,2020-03-29,1,1.5714285714285714,1,1,5,4,4,4,4903185,0.3074,0.5066,0.6022,0.7258
Alabama,2020-03-30,6,2.4285714285714284,6,6,11,10,10,10,4903185,0.3074,0.5066,0.6022,0.7258
Alabama,2020-03-31,3,3.2857142857142856,3,3,14,13,13,13,4903185,0.3074,0.5066,0.6022,0.7258
Alabama,2020-04-01,14,4.428571428571429,14,14,28,27,27,27,4903185,0.3074,0.5066,0.6022,0.7258
Alabama,2020-04-02,4,5.571428571428571,4,4,32,31,31,31,4903185,0.3074,0.5066,0.6022,0.7258
Alabama,2020-04-03,6,6.285714285714286,6,6,38,37,37,37,4903185,0.3074,0.5066,0.6022,0.7258
Alabama,2020-04-04,6,5.571428571428571,6,6,44,43,43,43,4903185,0.3074,0.5066,0.6022,0.7258
Alabama,2020-04-05,1,6,1,1,45,44,44,44,4903185,0.3074,0.5066,0.6022,0.7258
Alabama,2020-04-06,8,8.142857142857142,8,8,53,52,52,52,4903185,0.3074,0.5066,0.6022,0.7258
Alabama,2020-04-07,11,8.571428571428571,11,11,64,63,63,63,4903185,0.3074,0.5066,0.6022,0.7258
Alabama,2020-04-08,3,8.857142857142858,3,3,67,66,66,66,4903185,0.3074,0.5066,0.6022,0.7258
Alabama,2020-04-09,11,8.857142857142858,11,11,78,77,77,77,4903185,0.3074,0.5066,0.6022,0.7258
Alabama,2020-04-10,2,9.142857142857142,2,2,80,79,79,79,4903185,0.3074,0.5066,0.6022,0.7258
Alabama,2020-04-11,13,7,13,13,93,92,92,92,4903185,0.3074,0.5066,0.6022,0.7258
Alabama,2020-04-12,0,7,0,0,93,92,92,92,4903185,0.3074,0.5066,0.6022,0.7258
Alabama,2020-04-13,11,9.857142857142858,11,11,104,103,103,103,4903185,0.3074,0.5066,0.6022,0.7258
Alabama,2020-04-14,10,10.142857142857142,10,10,114,113,113,113,4903185,0.3074,0.5066,0.6022,0.7258
Alabama,2020-04-15,9,10.428571428571429,9,9,123,122,122,122,4903185,0.3074,0.5066,0.6022,0.7258
Alabama,2020-04-16,14,10.714285714285715,14,14,137,136,136,136,4903185,0.3074,0.5066,0.6022,0.7258
Alabama,2020-04-17,14,11,14,14,151,150,150,150,4903185,0.3074,0.5066,0.6022,0.7258
Alabama,2020-04-19,13,8.285714285714285,13,13,160,163,163,163,4903185,0.3074,0.5066,0.6022,0.7258
Alabama,2020-04-20,4,12.142857142857144,4,4,164,167,167,167,4903185,0.3074,0.5066,0.6022,0.7258
Alabama,2020-04-21,22,12.714285714285715,22,22,186,189,189,189,4903185,0.3074,0.5066,0.6022,0.7258
Alabama,2020-04-22,15,13.142857142857142,15,15,201,204,204,204,4903185,0.3074,0.5066,0.6022,0.7258
