date,daily_deaths_actual,daily_deaths_est,daily_deaths_95CI_lower,daily_deaths_95CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_95CI_lower,cumulative_deaths_95CI_upper,prob_peak_already,prob_peak_07days,prob_peak_10days,prob_peak_14days
2020-03-02,5,5,5,5,5,5,5,5,1,1,1,1
2020-03-03,1,1,1,1,6,6,6,6,1,1,1,1
2020-03-04,3,3,3,3,9,9,9,9,1,1,1,1
2020-03-05,1,1,1,1,10,10,10,10,1,1,1,1
2020-03-06,2,2,2,2,12,12,12,12,1,1,1,1
2020-03-07,3,3,3,3,15,15,15,15,1,1,1,1
2020-03-08,2,2,2,2,17,17,17,17,1,1,1,1
2020-03-09,1,1,1,1,18,18,18,18,1,1,1,1
2020-03-10,4,4,4,4,22,22,22,22,1,1,1,1
2020-03-11,2,2,2,2,24,24,24,24,1,1,1,1
2020-03-12,7,7,7,7,31,31,31,31,1,1,1,1
2020-03-13,7,7,7,7,38,38,38,38,1,1,1,1
2020-03-14,2,2,2,2,40,40,40,40,1,1,1,1
2020-03-15,8,8,8,8,48,48,48,48,1,1,1,1
2020-03-16,22,22,22,22,70,70,70,70,1,1,1,1
2020-03-17,29,29,29,29,99,99,99,99,1,1,1,1
2020-03-18,49,49,49,49,148,148,148,148,1,1,1,1
2020-03-19,73,73,73,73,221,221,221,221,1,1,1,1
2020-03-20,93,93,93,93,314,314,314,314,1,1,1,1
2020-03-21,86,86,86,86,400,400,400,400,1,1,1,1
2020-03-22,138,138,138,138,538,538,538,538,1,1,1,1
2020-03-23,184,184,184,184,722,722,722,722,1,1,1,1
2020-03-24,227,227,227,227,949,949,949,949,1,1,1,1
2020-03-25,306,306,306,306,1255,1255,1255,1255,1,1,1,1
2020-03-26,409,409,409,409,1664,1664,1664,1664,1,1,1,1
2020-03-27,536,536,536,536,2200,2200,2200,2200,1,1,1,1
2020-03-28,621,621,621,621,2821,2821,2821,2821,1,1,1,1
2020-03-29,632,632,632,632,3453,3453,3453,3453,1,1,1,1
2020-03-30,800,800,800,800,4253,4253,4253,4253,1,1,1,1
2020-03-31,1212,1212,1212,1212,5465,5465,5465,5465,1,1,1,1
2020-04-01,1200,1200,1200,1200,6665,6665,6665,6665,1,1,1,1
2020-04-02,1549,1549,1549,1549,8214,8214,8214,8214,1,1,1,1
2020-04-03,1284,1284,1284,1284,9498,9498,9498,9498,1,1,1,1
2020-04-04,1258,1258,1258,1258,10756,10756,10756,10756,1,1,1,1
2020-04-05,1408,1408,1408,1408,12164,12164,12164,12164,1,1,1,1
2020-04-06,1648,1648,1648,1648,13812,13812,13812,13812,1,1,1,1
2020-04-07,2296,2296,2296,2296,16108,16108,16108,16108,1,1,1,1
2020-04-08,2078,2078,2078,2078,18186,18186,18186,18186,1,1,1,1
2020-04-09,1985,1985,1985,1985,20171,20171,20171,20171,1,1,1,1
2020-04-10,2063,2063,2063,2063,22234,22234,22234,22234,1,1,1,1
2020-04-11,2005,2005,2005,2005,24239,24239,24239,24239,1,1,1,1
2020-04-12,1745,1745,1745,1745,25984,25984,25984,25984,1,1,1,1
2020-04-13,1788,1788,1788,1788,27772,27772,27772,27772,1,1,1,1
2020-04-14,2399,2399,2399,2399,30171,30171,30171,30171,1,1,1,1
2020-04-15,2466,2466,2466,2466,32637,32637,32637,32637,1,1,1,1
2020-04-16,2088,2088,2088,2088,34725,34725,34725,34725,1,1,1,1
2020-04-17,2581,2581,2581,2581,37306,37306,37306,37306,1,1,1,1
2020-04-18,2342,2342,2342,2342,39648,39648,39648,39648,1,1,1,1
2020-04-19,1368,1368,1368,1368,41016,41016,41016,41016,1,1,1,1
2020-04-20,1713,1713,1713,1713,42729,42729,42729,42729,1,1,1,1
2020-04-21,2426,2426,2426,2426,45155,45155,45155,45155,1,1,1,1
2020-04-22,2327,2327,2327,2327,47482,47482,47482,47482,1,1,1,1
2020-04-23,2303,2303,2303,2303,49785,49785,49785,49785,1,1,1,1
2020-04-24,1763,1763,1763,1763,51548,51548,51548,51548,1,1,1,1
2020-04-25,2256,2256,2256,2256,53804,53804,53804,53804,1,1,1,1
2020-04-26,1124,1124,1124,1124,54928,54928,54928,54928,1,1,1,1
2020-04-27,1338,1338,1338,1338,56266,56266,56266,56266,1,1,1,1
2020-04-28,2134,2134,2134,2134,58400,58400,58400,58400,1,1,1,1
2020-04-29,2612,2612,2612,2612,61012,61012,61012,61012,1,1,1,1
2020-04-30,2023,2023,2023,2023,63035,63035,63035,63035,1,1,1,1
2020-05-01,2005,2005,2005,2005,65040,65040,65040,65040,1,1,1,1
2020-05-02,1486,1486,1486,1486,66526,66526,66526,66526,1,1,1,1
2020-05-03,1311,1311,1311,1311,67837,67837,67837,67837,1,1,1,1
2020-05-04,1241,1241,1241,1241,69078,69078,69078,69078,1,1,1,1
2020-05-05,2140,2140,2140,2140,71218,71218,71218,71218,1,1,1,1
2020-05-06,2391,2391,2391,2391,73609,73609,73609,73609,1,1,1,1
2020-05-07,2205,2205,2205,2205,75814,75814,75814,75814,1,1,1,1
2020-05-08,1517,1517,1517,1517,77331,77331,77331,77331,1,1,1,1
2020-05-09,1614,1614,1614,1614,78945,78945,78945,78945,1,1,1,1
2020-05-10,731,731,731,731,79676,79676,79676,79676,1,1,1,1
2020-05-11,1153,1153,1153,1153,80829,80829,80829,80829,1,1,1,1
2020-05-12,1693,1693,1693,1693,82522,82522,82522,82522,1,1,1,1
2020-05-13,1742,1742,1742,1742,84264,84264,84264,84264,1,1,1,1
2020-05-14,1777,1777,1777,1777,86041,86041,86041,86041,1,1,1,1
2020-05-15,1627,1627,1627,1627,87668,87668,87668,87668,1,1,1,1
2020-05-16,1224,1224,1224,1224,88892,88892,88892,88892,1,1,1,1
2020-05-17,807,807,807,807,89699,89699,89699,89699,1,1,1,1
